TOW_s,E_m,N_m,U_m
455342.0,-0.8471124518038666,0.2775006206705366,6.405999938603415
455343.0,-0.8864747330294469,0.4076136559982029,6.769999924493156
455344.0,-0.9637566372611417,0.5061673628143089,6.9429999082141425
455345.0,-0.9570588625417524,0.5039526667791248,6.863999909003507
455346.0,-1.023006073277899,0.5470283885696854,6.901999893730569
455347.0,-1.3551120849648026,0.6058284229330639,6.8749998279908
455348.0,-2.0756883672236457,0.6625245577648804,6.871999628919008
455349.0,-3.1485669904645848,0.7115801145281151,6.8629991826936045
455350.0,-4.434743496445222,1.0624980018488035,6.823998370096995
455351.0,-5.472381243871668,2.0413911777040346,6.855997325848163
455352.0,-6.219026663659674,3.332001852242574,6.815996093382953
455353.0,-7.196281195210574,4.899449059266788,7.033994050932288
455354.0,-7.875845788552981,6.428471332714841,7.16899188292242
455355.0,-8.686789218106568,8.141866608045294,7.226988863256077
455356.0,-9.813866103026237,10.439054107975261,7.105983864412892
455357.0,-11.221217665824154,13.51381961230727,7.093975741859703
455358.0,-12.853921773319199,17.206040765837155,7.015963723226699
455359.0,-14.7231069661658,21.398671553095422,6.98694692812841
455360.0,-16.807546231321204,26.092930283811587,7.0239242099274435
455361.0,-19.18936363635726,31.286491336200314,7.015894007425304
455362.0,-21.75181200351887,36.876593235447,7.0078557583667624
455363.0,-24.46717275208697,42.73998850822383,6.994809134995622
455364.0,-26.99251948977404,48.32023109784037,6.358758909024909
455365.0,-29.355471563068065,54.0808636163466,6.245701988729353
455366.0,-32.122142184680754,59.58215861960023,6.304639383088318
455367.0,-34.671701346848984,64.87936944908613,6.298574083021464
455368.0,-37.46773588025957,69.93894506408833,6.288504521466368
455369.0,-40.84616303558166,74.37408980102464,6.17943335023741
455370.0,-44.853043631287115,77.90077094937406,6.044364122002079
455371.0,-49.34690210712297,80.19520068220099,5.863302367084923
455372.0,-53.97482194179599,81.25162225193769,5.808251459877834
455373.0,-58.49671509162112,81.1458862266533,5.734212962597102
455374.0,-62.86013425761329,80.12515307475022,5.75118444504642
