TOW_s,E_m,N_m,U_m
455342.0,-0.11623194140822402,0.49675484504696676,6.200999980085225
455343.0,-0.27934826146990854,0.8210962459200704,7.197999941391702
455344.0,-0.35384797281215263,0.7784634052012809,6.678999941221757
455345.0,-0.4017627338044474,0.7636249733262868,6.5689999420852745
455346.0,-0.43854892794227784,0.8920770193010363,6.919999921739296
455347.0,-0.642779161320453,0.850994497169022,6.658999910705521
455348.0,-1.4490868000689896,0.763625051470405,6.699999790063157
455349.0,-2.663751901399884,0.7697156103328053,6.717999396947814
455350.0,-3.8865571631978257,1.044558817245675,6.511998730463368
455351.0,-4.933571853491456,2.149689276583537,6.718997728725063
455352.0,-5.523489229497243,3.2352192753719335,6.079996784274606
455353.0,-6.636038965438745,5.045396737611055,6.873994543531501
455354.0,-7.428125800890719,6.507092267230298,6.843992339158186
455355.0,-8.295330389228038,8.196679507736176,6.8709893132622675
455356.0,-9.531734592329329,10.157122363887835,6.132984751526859
455357.0,-10.907452792356516,13.488903272672369,6.690976338272272
455358.0,-12.548605223391428,16.86929399498893,5.909965234840099
455359.0,-14.493732747832087,21.179746178562404,6.065948187522822
455360.0,-16.87246137847149,25.813433676967588,6.329925181554747
455361.0,-19.110534876591398,31.093146152434063,6.471895195033703
455362.0,-21.417129186430927,36.83207478869204,6.539857150103825
455363.0,-24.231203843762323,42.77785555282117,6.433809780588014
455364.0,-26.583130774771153,48.77368564913636,6.040757157173539
455365.0,-29.442026211917113,54.22902563380586,6.142700324413756
455366.0,-32.095659446773666,59.725558561093784,6.181638168188572
455367.0,-34.786387528800006,65.1127996354851,6.458571066885643
455368.0,-37.128723754289744,70.24943791663195,5.762503073427428
455369.0,-40.44388504523536,74.67196228155747,5.9904324143254435
455370.0,-44.489197735705076,78.57225895732101,5.654358391093705
455371.0,-48.47134651615811,80.56171761906162,4.963304434489483
455372.0,-53.248051412476286,82.04778071293192,4.268247320537306
455373.0,-57.71626111567784,81.50929565252616,4.3172154114969565
455374.0,-62.07338660099723,80.95762689072137,3.8071815774262454
455375.0,-65.89831498608086,78.9120492055447,4.121168997922311
455376.0,-70.11986415979817,76.15390621791992,5.1321577102417315
455377.0,-74.41261656138337,73.04451079240525,5.858145655579424
455378.0,-77.64432118992482,71.1339031940338,4.899128859571341
455379.0,-81.49420571761375,68.11553394510045,5.9171139779212005
455380.0,-84.44255764888698,66.13151926179972,5.840096634019325
455381.0,-86.21311915657293,64.82285572322465,4.5450864644511135
455382.0,-89.68381380000933,62.316745730536844,5.817063740100256
455383.0,-93.42560447341204,59.656044573106215,6.322035629159352
455384.0,-95.79597382163603,57.36472571772277,4.62202161497768
455385.0,-99.77249938434066,55.17708857504069,5.506980083159149
455386.0,-104.68473802341097,52.85125339746365,5.421921188406547
455387.0,-109.31473166934356,51.42048094185801,4.894855309971877
455388.0,-114.84396712553311,50.936385462082356,4.362762100912011
455389.0,-120.47389184273383,51.726858078438916,5.289651899128515
455390.0,-125.5780605531078,54.97296941523331,5.395526198347035
455391.0,-130.71851373634752,57.15847106695094,5.82840365426167
